Mision,Establishment
        Personal Envoy Mozambique  ,    Established:     8 July 2019  
        Personal Envoy Western Sahara  ,    Established:     March 1997  
        Special Envoy for the Great Lakes Region  ,    Established:     February 2013  
        Special Envoy Horn of Africa  ,    Established:     October 2018  
        UNITAMS  ,    Established:     3 June 2020  
        UNOAU  ,    Established:     June 2010  
        UNOCA  ,    Established:     March 2011  
        UNOWAS  ,    Established:     2002  
        UNSMIL  ,    Established:     September 2011  
        UNSOM  ,    Established:     June 2013  
